"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 17 21:48:37 CST 2026","Sun May 17 21:48:37 CST 2026","3","allure-results.exec_24","test_generated","","","","test_3_本地接口调试副本",""
"passed","Sun May 17 21:48:37 CST 2026","Sun May 17 21:48:37 CST 2026","1","allure-results.exec_24","test_generated","","","","test_4_本地接口调试副本用于测试",""
"passed","Sun May 17 21:48:37 CST 2026","Sun May 17 21:48:37 CST 2026","9","allure-results.exec_24","test_generated","","","","test_2_本地接口调试",""
